央视频道,#genre#
江西卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.77:11602
江西卫视,http://www.siyao.xin:4000/rtp/225.1.2.77:11602
吉林卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.105:11608
吉林卫视,http://www.siyao.xin:4000/rtp/225.1.2.105:11608
内蒙古卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.38:10222
内蒙古卫视,http://www.siyao.xin:4000/rtp/225.1.2.38:10222
宁夏卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.41:10240
宁夏卫视,http://www.siyao.xin:4000/rtp/225.1.2.41:10240
山西卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.37:10216
山西卫视,http://www.siyao.xin:4000/rtp/225.1.2.37:10216
陕西卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.36:10210
陕西卫视,http://www.siyao.xin:4000/rtp/225.1.2.36:10210
四川卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.108:11626
四川卫视,http://www.siyao.xin:4000/rtp/225.1.2.108:11626
新疆卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.43:10252
新疆卫视,http://www.siyao.xin:4000/rtp/225.1.2.43:10252
云南卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.76:11596
云南卫视,http://www.siyao.xin:4000/rtp/225.1.2.76:11596
厦门卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.96:10570
厦门卫视,http://www.siyao.xin:4000/rtp/225.1.2.96:10570
青海卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.39:10228
青海卫视,http://www.siyao.xin:4000/rtp/225.1.2.39:10228
西藏卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.42:10246
西藏卫视,http://www.siyao.xin:4000/rtp/225.1.2.42:10246
兵团卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.98:10582
兵团卫视,http://www.siyao.xin:4000/rtp/225.1.2.98:10582
三沙卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.225:11464
三沙卫视,http://www.siyao.xin:4000/rtp/225.1.2.225:11464
卡酷动画,http://lysj.aylzline.top:8899/rtp/225.1.2.45:10264
卡酷动画,http://www.siyao.xin:4000/rtp/225.1.2.45:10264
金鹰卡通,http://lysj.aylzline.top:8899/rtp/225.1.2.46:10270
金鹰卡通,http://www.siyao.xin:4000/rtp/225.1.2.46:10270
嘉佳卡通,http://lysj.aylzline.top:8899/rtp/225.1.2.93:10552
嘉佳卡通,http://www.siyao.xin:4000/rtp/225.1.2.93:10552
数字频道,#genre#
梨园频道,http://lysj.aylzline.top:8899/rtp/225.1.2.100:10594
梨园频道,http://www.siyao.xin:4000/rtp/225.1.2.100:10594
国学频道,http://lysj.aylzline.top:8899/rtp/225.1.2.129:11674
国学频道,http://lysj.aylzline.top:8899/rtp/225.1.2.161:10984
国学频道,http://www.siyao.xin:4000/rtp/225.1.2.129:11674
国学频道,http://www.siyao.xin:4000/rtp/225.1.2.161:10984
中华特产,http://lysj.aylzline.top:8899/rtp/225.1.2.205:11788
中华特产,http://www.siyao.xin:4000/rtp/225.1.2.205:11788
